,date,score,sentiment,price
188,2018-10-08,0.9679,1.0,10348.0498046875
189,2018-10-09,-0.9776,-1.0,10301.0498046875
190,2018-10-10,0.9962,1.0,10460.099609375
191,2018-10-11,0.9825,1.0,10234.650390625
192,2018-10-12,0.9892,1.0,10472.5
193,2018-10-15,-0.7499,-1.0,10512.5
194,2018-10-16,0.9891,1.0,10584.75
195,2018-10-17,0.9917,1.0,10453.0498046875
196,2018-10-19,-0.7579,-1.0,10303.5498046875
197,2018-10-22,0.7906,1.0,10245.25
198,2018-10-23,0.989,1.0,10146.7998046875
199,2018-10-24,0.9949,1.0,10224.75
200,2018-10-25,0.9966,1.0,10124.900390625
201,2018-10-26,-0.4396,-1.0,10030.0
202,2018-10-29,0.9966,1.0,10250.849609375
203,2018-10-30,0.9932,1.0,10198.400390625
204,2018-10-31,-0.6369,-1.0,10386.599609375
205,2018-11-01,0.9982,1.0,10380.4501953125
206,2018-11-02,0.9978,1.0,10553.0
207,2018-11-05,0.9682,1.0,10524.0
208,2018-11-06,0.9682,1.0,10530.0
209,2018-11-07,0.9916,1.0,10598.400390625
210,2018-11-09,-0.9413,-1.0,10585.2001953125
211,2018-11-12,-0.9719,-1.0,10482.2001953125
212,2018-11-13,0.9726,1.0,10582.5
213,2018-11-14,-0.9958,-1.0,10576.2998046875
214,2018-11-15,0.9719,1.0,10616.7001953125
215,2018-11-16,0.4768,1.0,10682.2001953125
216,2018-11-19,0.9623,1.0,10763.400390625
217,2018-11-20,0.5256,1.0,10656.2001953125
218,2018-11-21,0.9186,1.0,10600.0498046875
219,2018-11-22,0.9584,1.0,10526.75
220,2018-11-26,0.9118,1.0,10628.599609375
221,2018-11-27,0.93,1.0,10685.599609375
222,2018-11-28,0.9792,1.0,10728.849609375
223,2018-11-29,0.9623,1.0,10858.7001953125
224,2018-11-30,0.9022,1.0,10876.75
225,2018-12-03,-0.8658,-1.0,10883.75
226,2018-12-04,0.6705,1.0,10869.5
227,2018-12-05,0.9565,1.0,10782.900390625
228,2018-12-06,-0.7003,-1.0,10601.150390625
229,2018-12-07,0.9878,1.0,10693.7001953125
230,2018-12-10,0.9952,1.0,10488.4501953125
231,2018-12-11,0.9393,1.0,10549.150390625
232,2018-12-12,0.8119,1.0,10737.599609375
233,2018-12-13,0.9783,1.0,10791.5498046875
234,2018-12-14,-0.9382,-1.0,10805.4501953125
235,2018-12-17,0.9623,1.0,10888.349609375
236,2018-12-18,0.9921,1.0,10908.7001953125
237,2018-12-19,-0.0516,-1.0,10967.2998046875
238,2018-12-20,-0.9801,-1.0,10951.7001953125
239,2018-12-21,0.9325,1.0,10754.0
240,2018-12-24,0.3612,1.0,10663.5
241,2018-12-26,0.6124,1.0,10729.849609375
242,2018-12-27,-0.8402,-1.0,10779.7998046875
243,2018-12-28,0.8885,1.0,10859.900390625
244,2018-12-31,-0.7579,-1.0,10862.5498046875
245,2019-01-02,-0.9723,-1.0,10792.5
246,2019-01-03,0.9771,1.0,10672.25
247,2019-01-04,0.9836,1.0,10727.349609375
248,2019-01-07,0.9905,1.0,10771.7998046875
249,2019-01-08,0.9201,1.0,10802.150390625
250,2019-01-09,0.9892,1.0,10855.150390625
251,2019-01-10,0.0258,1.0,10821.599609375
252,2019-01-11,0.9897,1.0,10794.9501953125
253,2019-01-14,-0.9913,-1.0,10737.599609375
254,2019-01-15,0.9919,1.0,10886.7998046875
255,2019-01-16,0.9153,1.0,10890.2998046875
256,2019-01-17,0.9984,1.0,10905.2001953125
257,2019-01-18,0.9712,1.0,10906.9501953125
258,2019-01-21,0.9769,1.0,10961.849609375
259,2019-01-22,-0.3818,-1.0,10922.75
260,2019-01-23,0.9819,1.0,10831.5
261,2019-01-24,0.9887,1.0,10849.7998046875
262,2019-01-25,0.9831,1.0,10780.5498046875
263,2019-01-28,0.128,1.0,10661.5498046875
264,2019-01-29,0.9758,1.0,10652.2001953125
265,2019-01-30,0.9796,1.0,10651.7998046875
266,2019-01-31,0.992,1.0,10830.9501953125
267,2019-02-01,0.9981,1.0,10893.650390625
268,2019-02-04,-0.9552,-1.0,10912.25
269,2019-02-05,0.9562,1.0,10934.349609375
270,2019-02-06,-0.9052,-1.0,11062.4501953125
271,2019-02-07,0.4588,1.0,11069.400390625
272,2019-02-08,-0.9867,-1.0,10943.599609375
273,2019-02-11,-0.9946,-1.0,10888.7998046875
274,2019-02-12,0.9855,1.0,10831.400390625
275,2019-02-14,-0.9118,-1.0,10746.0498046875
276,2019-02-15,-0.9953,-1.0,10724.400390625
277,2019-02-18,-0.8865,-1.0,10640.9501953125
278,2019-02-19,-0.9468,-1.0,10604.349609375
279,2019-02-20,-0.9349,-1.0,10735.4501953125
280,2019-02-21,-0.4019,-1.0,10789.849609375
281,2019-02-22,0.9595,1.0,10791.650390625
282,2019-02-25,0.5423,1.0,10880.099609375
283,2019-02-26,-0.9973,-1.0,10835.2998046875
284,2019-02-27,0.9717,1.0,10806.650390625
285,2019-02-28,0.9246,1.0,10792.5
286,2019-03-01,0.8271,1.0,10863.5
287,2019-03-05,-0.9501,-1.0,10987.4501953125
288,2019-03-06,0.936,1.0,11053.0
289,2019-03-07,0.9833,1.0,11058.2001953125
290,2019-03-08,-0.6142,-1.0,11035.400390625
291,2019-03-11,0.2144,1.0,11168.0498046875
292,2019-03-12,-0.6705,-1.0,11301.2001953125
293,2019-03-13,0.9893,1.0,11341.7001953125
294,2019-03-14,-0.9413,-1.0,11343.25
295,2019-03-15,0.8266,1.0,11426.849609375
296,2019-03-18,0.9963,1.0,11462.2001953125
297,2019-03-19,-0.7845,-1.0,11532.400390625
298,2019-03-20,0.3818,1.0,11521.0498046875
299,2019-03-22,0.9738,1.0,11456.900390625
300,2019-03-25,-0.9859,-1.0,11354.25
301,2019-03-26,0.891,1.0,11483.25
302,2019-03-27,-0.9744,-1.0,11445.0498046875
303,2019-03-28,0.9833,1.0,11570.0
304,2019-04-01,0.9939,1.0,11669.150390625
305,2019-04-02,0.9915,1.0,11713.2001953125
306,2019-04-03,0.9904,1.0,11643.9501953125
307,2019-04-04,0.8719,1.0,11598.0
308,2019-04-05,0.9692,1.0,11665.9501953125
309,2019-04-08,-0.9909,-1.0,11604.5
310,2019-04-09,0.9712,1.0,11671.9501953125
311,2019-04-10,-0.9644,-1.0,11584.2998046875
312,2019-04-11,0.8442,1.0,11596.7001953125
313,2019-04-12,0.9902,1.0,11643.4501953125
314,2019-04-15,0.9531,1.0,11690.349609375
315,2019-04-16,0.9947,1.0,11787.150390625
316,2019-04-18,0.9946,1.0,11752.7998046875
317,2019-04-22,-0.7845,-1.0,11594.4501953125
318,2019-04-23,0.99,1.0,11575.9501953125
319,2019-04-24,0.9393,1.0,11726.150390625
320,2019-04-25,0.9958,1.0,11641.7998046875
321,2019-04-26,0.9732,1.0,11754.650390625
322,2019-04-30,0.9837,1.0,11748.150390625
323,2019-05-02,-0.8755,-1.0,11724.75
324,2019-05-03,0.9952,1.0,11712.25
325,2019-05-06,-0.7717,-1.0,11598.25
326,2019-05-07,0.9911,1.0,11497.900390625
327,2019-05-08,-0.9136,-1.0,11359.4501953125
328,2019-05-09,-0.9831,-1.0,11301.7998046875
329,2019-05-10,0.9948,1.0,11278.900390625
330,2019-05-13,-0.9822,-1.0,11148.2001953125
331,2019-05-14,-0.9062,-1.0,11222.0498046875
332,2019-05-15,0.7579,1.0,11157.0
333,2019-05-16,0.9769,1.0,11257.099609375
334,2019-05-17,0.959,1.0,11407.150390625
335,2019-05-20,0.9961,1.0,11828.25
336,2019-05-21,0.9584,1.0,11709.099609375
337,2019-05-22,-0.9072,-1.0,11737.900390625
338,2019-05-23,0.926,1.0,11657.0498046875
339,2019-05-24,0.9927,1.0,11844.099609375
340,2019-05-27,0.8074,1.0,11924.75
341,2019-05-28,-0.7351,-1.0,11928.75
342,2019-05-29,-0.6542,-1.0,11861.099609375
343,2019-05-30,0.9843,1.0,11945.900390625
344,2019-05-31,0.9881,1.0,11922.7998046875
345,2019-06-03,0.9846,1.0,12088.5498046875
346,2019-06-04,0.9062,1.0,12021.650390625
347,2019-06-06,-0.8937,-1.0,11843.75
348,2019-06-07,-0.9909,-1.0,11870.650390625
349,2019-06-10,0.9643,1.0,11922.7001953125
350,2019-06-11,0.9601,1.0,11965.599609375
351,2019-06-12,0.836,1.0,11906.2001953125
352,2019-06-13,-0.9738,-1.0,11914.0498046875
353,2019-06-14,-0.9776,-1.0,11823.2998046875
354,2019-06-17,-0.991,-1.0,11672.150390625
355,2019-06-18,0.891,1.0,11691.5
356,2019-06-19,0.9926,1.0,11691.4501953125
357,2019-06-20,-0.7351,-1.0,11831.75
358,2019-06-21,0.9805,1.0,11724.099609375
359,2019-06-24,-0.0772,-1.0,11699.650390625
360,2019-06-25,0.8225,1.0,11796.4501953125
361,2019-06-26,0.7351,1.0,11847.5498046875
362,2019-06-27,-0.8974,-1.0,11841.5498046875
363,2019-06-28,-0.9842,-1.0,11788.849609375
364,2019-07-01,0.9709,1.0,11865.599609375
365,2019-07-02,0.9935,1.0,11910.2998046875
366,2019-07-03,0.992,1.0,11916.75
367,2019-07-04,0.9971,1.0,11946.75
368,2019-07-05,0.9996,1.0,11811.150390625
369,2019-07-08,0.9169,1.0,11558.599609375
370,2019-07-09,-0.9791,-1.0,11555.900390625
371,2019-07-10,-0.9955,-1.0,11498.900390625
372,2019-07-11,0.9868,1.0,11582.900390625
373,2019-07-12,0.9855,1.0,11552.5
374,2019-07-15,-0.9595,-1.0,11588.349609375
375,2019-07-16,0.9864,1.0,11662.599609375
376,2019-07-17,0.9985,1.0,11687.5
377,2019-07-18,0.9818,1.0,11596.900390625
378,2019-07-19,0.9702,1.0,11419.25
379,2019-07-22,-0.9565,-1.0,11346.2001953125
380,2019-07-23,0.9943,1.0,11331.0498046875
381,2019-07-24,0.9902,1.0,11271.2998046875
382,2019-07-25,0.959,1.0,11252.150390625
383,2019-07-26,0.0516,1.0,11284.2998046875
384,2019-07-29,-0.9837,-1.0,11189.2001953125
385,2019-07-30,0.9889,1.0,11085.400390625
386,2019-07-31,-0.9694,-1.0,11118.0
387,2019-08-01,-0.9913,-1.0,10980.0
388,2019-08-02,0.9969,1.0,10997.349609375
389,2019-08-05,0.765,1.0,10862.599609375
390,2019-08-06,0.9855,1.0,10948.25
391,2019-08-07,-0.7373,-1.0,10855.5
392,2019-08-08,0.9915,1.0,11032.4501953125
393,2019-08-09,0.9979,1.0,11109.650390625
394,2019-08-13,-0.8093,-1.0,10925.849609375
